County,Positivity Rate,Death Rate
Alamance,0.11280519548128481,0.001711437347076891
Alexander,0.11509020583700738,0.002245002840063834
Alleghany,0.08863988339254805,0.00045549785916006196
Anson,0.09349979129510871,0.0020870489128372483
Ashe,0.07422680412371134,0.0015095729013254787
Avery,0.11546532070549538,0.0011342369420972041
Beaufort,0.09302276604258367,0.001979655876840132
Bertie,0.08279481074777707,0.0020893056702784123
Bladen,0.08893212773263134,0.0011731715691885086
Brunswick,0.07825521181493267,0.0013101954597716516
Buncombe,0.06874307149197623,0.001313092885981813
Burke,0.10709226137772268,0.0016491057198512484
Cabarrus,0.11214455973459736,0.0013411303502684976
Caldwell,0.11054982063108573,0.001244600629621495
Camden,0.06287306008754477,0.0004974134500596896
Carteret,0.07210332103321034,0.0006937269372693727
Caswell,0.09040622299049265,0.001166810717372515
Catawba,0.11975888949317587,0.0019099785046486934
Chatham,0.06802834640889846,0.001320202127498141
Cherokee,0.08697099733649008,0.000739863865048831
Chowan,0.0954387873020189,0.0014954795731085583
Clay,0.06613433536871771,0.001690934711131987
Cleveland,0.11335180623973727,0.0022885878489326767
Columbus,0.10753042904519647,0.002587119962495442
Craven,0.08386232324768131,0.0011688459784096091
Cumberland,0.08278975019426583,0.000910185721229308
Currituck,0.061535269709543566,0.0006224066390041493
Dare,0.05889851377582061,0.0002317698525364313
Davidson,0.09685626356380043,0.0011218872227467232
Davie,0.09440981784799729,0.0008938493501473644
Duplin,0.0985917840179985,0.002133155570369136
Durham,0.08701755878630606,0.0007834629060447176
Edgecombe,0.09390699009616765,0.001919764604564375
Forsyth,0.09591728377811932,0.0010283638395975968
Franklin,0.10272904483430799,0.0007797270955165692
Gaston,0.12257878416384221,0.0019662988870459844
Gates,0.05977803934757021,0.0010089120564990752
Graham,0.06485740570377185,0.0013799448022079118
Granville,0.09857646327137033,0.0013820744938152166
Greene,0.10416959146427067,0.0019654639898918995
Guilford,0.08954967685791727,0.0012913707691140836
Halifax,0.09973685185871539,0.001982876839257255
Harnett,0.08883011823273179,0.0013509972816297122
Haywood,0.07101296403416245,0.0015652114736806287
Henderson,0.0903725357780512,0.0014523992340212957
Hertford,0.08316977428851816,0.002576054955839058
Hoke,0.0882661649668284,0.0010892167541340727
Hyde,0.11326014985189058,0.0013939710751001916
Iredell,0.10861494584926304,0.001260034174585418
Jackson,0.08530864197530864,0.001382716049382716
Johnston,0.11474190651083231,0.0012185284981207202
Jones,0.07730455075845974,0.001750291715285881
Lee,0.09659443763742258,0.0012756172476879437
Lenoir,0.09604367004106741,0.0018590187760896386
Lincoln,0.1204884633337118,0.0010722981241090463
Macon,0.08521888107756838,0.0009452354226974656
Madison,0.0724859866813587,0.0019163512671872755
Martin,0.09119049610976324,0.0016313896093031039
McDowell,0.11215119510839355,0.0014007782101167316
Mecklenburg,0.11007664485816207,0.000961805673930314
Mitchell,0.08530158110482139,0.0010410566725226104
Montgomery,0.11733217592592593,0.003363715277777778
Moore,0.09410645336165599,0.0020578180490557272
Nash,0.11439848403949035,0.001853073274914413
New Hanover,0.08658714412067028,0.0007697272488226997
Northampton,0.08478475188958265,0.0018308999577484626
Onslow,0.08543431829174841,0.0007717349362231727
Orange,0.05988989923103077,0.0007306292815960994
Pamlico,0.08223684210526316,0.0009944920440636475
Pasquotank,0.07976792988519936,0.0019750648068139736
Pender,0.09474422381339041,0.0012733446519524619
Perquimans,0.0708265562620139,0.000665385184089901
Person,0.08277655939205386,0.0017085734686591524
Pitt,0.10737059969590278,0.000497193171109608
Polk,0.06901491947436024,0.00133386029048513
Randolph,0.10230175438596491,0.0015578947368421053
Richmond,0.09611698576443478,0.001981349471281201
Robeson,0.11684234630186366,0.0016767740934709224
Rockingham,0.07798066131399464,0.0010144176810843477
Rowan,0.11675748529028145,0.0021666038665545924
Rutherford,0.10486902515489652,0.0030459266303136563
Sampson,0.11398323637955839,0.0016575967973978857
Scotland,0.09918519541499793,0.00226488054136169
Stanly,0.12379771938522559,0.0018509337299619899
Stokes,0.08249759435475248,0.0016892975515877258
Surry,0.10739688022738708,0.0021215541744298324
Swain,0.08468685722391658,0.0012057592737073552
Transylvania,0.06669714982472184,0.0008840115836000609
Tyrrell,0.0743781695242695,0.0014489253803429123
Union,0.11116653397154888,0.001012000115109018
Vance,0.10605522507324869,0.0018867086921779278
Wake,0.09406045100368327,0.00074778683454061
Warren,0.08468564765328929,0.0009231367214070547
Washington,0.0812298498073445,0.002437681843202013
Watauga,0.08056653744290485,0.0005757494338463901
Wayne,0.08605350793931692,0.0019144452130825786
Wilkes,0.09299502947636111,0.0015605132354641082
Wilson,0.11317962204146535,0.0019937618494281694
Yadkin,0.10119703890376437,0.0012337900981781909
Yancey,0.08391013275842506,0.0015318279813911267
